preserved_info_bin,frontier_viability,support,method,frontier_viability_smooth
0.0,-1.338450554270736,12,affinity_rank_group,-1.338450554270736
0.006434012493695753,-1.338450554270736,12,affinity_rank_group,-1.337623416761882
0.01019766853167918,-1.337623416761882,12,affinity_rank_group,-1.337623416761882
0.012868024987391506,-1.337623416761882,12,balanced_random_group,-1.337623416761882
0.016914593399140018,-1.337623416761882,11,balanced_random_group,-1.337623416761882
0.01941105798724531,-1.337623416761882,11,balanced_random_group,-1.337623416761882
0.023791701420299936,-1.337623416761882,11,balanced_random_group,-1.337623416761882
0.024650928083989762,-1.337623416761882,12,prefix_group,-1.337623416761882
0.02609775727171409,-1.337623416761882,36,prefix_group,-1.337623416761882
0.02902412296778699,-1.337623416761882,8,affinity_rank_group,-1.337623416761882
0.03088975764856348,-1.337623416761882,9,affinity_rank_group,-1.337623416761882
0.032942199303349406,-1.337623416761882,8,balanced_random_group,-1.337623416761882
0.03584100402623477,-1.337623416761882,10,affinity_rank_group,-1.337623416761882
0.0381052360580786,-1.337623416761882,9,balanced_random_group,-1.337623416761882
0.038235442016004526,-1.337623416761882,28,prefix_group,-1.337623416761882
0.03984879540184129,-1.337623416761882,16,prefix_group,-1.337623416761882
0.0401627513411643,-1.337623416761882,7,balanced_random_group,-1.337623416761882
0.04270001357337358,-1.337623416761882,10,affinity_rank_group,-1.337623416761882
0.04508315465019672,-1.337623416761882,9,affinity_rank_group,-1.337623416761882
0.049301856167979524,-1.337623416761882,6,prefix_group,-1.337623416761882
0.05169999362015506,-1.337623416761882,14,prefix_group,-1.337623416761882
