preserved_info_bin,frontier_viability,support,method,frontier_viability_smooth
0.0,-1.3405213072679667,12,balanced_random_group,-1.3376883642336097
0.052451578839896006,-1.3396558276256023,12,kmeans_profile,-1.3376883642336097
0.08471326861748237,-1.3376883642336097,12,kmeans_profile,-1.3376883642336097
0.1061365951789422,-1.3376883642336097,11,balanced_random_group,-1.3376883642336097
0.14011975679169994,-1.3376883642336097,10,balanced_random_group,-1.3376883642336097
0.1603629574944481,-1.3376883642336097,11,balanced_random_group,-1.3376883642336097
0.18522110155485527,-1.3376883642336097,8,affinity_rank_group,-1.3376883642336097
0.20316175147936594,-1.3376883642336097,10,affinity_rank_group,-1.3376883642336097
0.20572092906477896,-1.3376883642336097,20,prefix_group,-1.3370150134555199
0.21773340810213895,-1.3376883642336097,24,prefix_group,-1.3370150134555199
0.2192484016550976,-1.3370150134555199,7,affinity_rank_group,-1.3347326482917252
0.23735319698828383,-1.3370150134555199,7,balanced_random_group,-1.333696364290946
0.25682740358151784,-1.3347326482917252,12,balanced_random_group,-1.333696364290946
0.2769933799812392,-1.333696364290946,6,affinity_rank_group,-1.333696364290946
0.295124533291415,-1.333696364290946,10,affinity_rank_group,-1.333292791400574
0.3120481962706372,-1.333696364290946,24,prefix_group,-1.333292791400574
0.313617070988221,-1.333292791400574,9,affinity_rank_group,-1.329076602465707
0.3320655249401366,-1.333292791400574,16,prefix_group,-1.329076602465707
0.33461690638343544,-1.329076602465707,8,affinity_rank_group,-1.329076602465707
0.3539427867919717,-1.329076602465707,9,affinity_rank_group,-1.329076602465707
0.37224573656243265,-1.329076602465707,7,affinity_rank_group,-1.329076602465707
0.4114418581295579,-1.329076602465707,10,prefix_group,-1.329076602465707
0.427382860975239,-1.329076602465707,8,prefix_group,-1.329076602465707
