condition,viability_def,inherit_prob,rep,method,analysis_role,k,preserved_info,viability,actual_viability,syntactic_info,meta
control,excess_over_control,0.1,0,balanced_random_group,primary,1,0.0,0.10403645833333641,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,balanced_random_group,primary,2,0.006431691094748013,0.030078125000002842,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,balanced_random_group,primary,3,0.0101939892013978,0.06822916666666856,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,balanced_random_group,primary,4,0.012863382189496026,0.14589843750000142,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,balanced_random_group,primary,6,0.016625680296145813,0.07190755208333144,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,balanced_random_group,primary,8,0.019295073284244037,0.15699869791666998,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,balanced_random_group,primary,12,0.023057371390893824,0.20273437500000213,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,balanced_random_group,primary,16,0.025726764378992052,0.2531575520833371,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,balanced_random_group,primary,24,0.029489062485641836,0.1675130208333364,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,balanced_random_group,primary,32,0.032158455473740064,0.14137369791667354,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,balanced_random_group,primary,48,0.03592075358038985,-0.0224609375,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,balanced_random_group,primary,64,0.038590146568488075,0.062434895833341386,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,balanced_random_group,primary,96,0.042352444675137865,0.09580078125000568,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,balanced_random_group,primary,128,0.045021837663236086,0.0653971354166707,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,affinity_rank_group,primary,1,0.0,0.053971354166673535,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,affinity_rank_group,primary,2,0.006431691094748013,0.1733723958333364,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,affinity_rank_group,primary,3,0.0101939892013978,0.05341796875000426,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,affinity_rank_group,primary,4,0.012863382189496026,0.17584635416667282,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,affinity_rank_group,primary,6,0.016625680296145813,0.09606119791666856,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,affinity_rank_group,primary,8,0.019295073284244037,0.04251302083333641,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,affinity_rank_group,primary,12,0.023057371390893824,0.019270833333337123,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,affinity_rank_group,primary,16,0.025726764378992052,0.06783854166666714,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,affinity_rank_group,primary,24,0.029489062485641836,0.04049479166667069,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,affinity_rank_group,primary,32,0.032158455473740064,0.23658854166666998,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,affinity_rank_group,primary,48,0.03592075358038985,0.09414062500000497,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,affinity_rank_group,primary,64,0.038590146568488075,0.17353515625000426,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,affinity_rank_group,primary,96,0.042352444675137865,0.1357096354166707,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,affinity_rank_group,primary,128,0.045021837663236086,0.1345703124999993,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,prefix_group,primary,1,0.012863382189496026,0.07923177083333144,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,prefix_group,primary,2,0.012863382189496026,0.24521484375000568,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,prefix_group,primary,3,0.012863382189496026,0.11868489583333641,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,prefix_group,primary,4,0.012863382189496026,0.11292317708333144,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,prefix_group,primary,6,0.025726764378992052,0.18658854166667282,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,prefix_group,primary,8,0.025726764378992052,0.09612630208333428,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,prefix_group,primary,12,0.025726764378992052,0.13782552083333854,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,prefix_group,primary,16,0.025726764378992052,0.04928385416667069,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,prefix_group,primary,24,0.038590146568488075,-0.09498697916666288,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,prefix_group,primary,32,0.038590146568488075,0.025390625,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,prefix_group,primary,48,0.038590146568488075,-0.03701171874999787,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,prefix_group,primary,64,0.038590146568488075,0.1498697916666707,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,prefix_group,primary,96,0.051453528757984104,0.0992838541666714,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,prefix_group,primary,128,0.051453528757984104,0.09029947916666714,0.27916666666666856,0.06431691094748013,"{""status"": ""ok""}"
control,excess_over_control,0.1,0,kmeans_profile,diagnostic_function_preserving,1,0.0,0.02597656250000213,0.27916666666666856,0.06431691094748013,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,0,kmeans_profile,diagnostic_function_preserving,2,0.0,0.14130859375000426,0.27916666666666856,0.06431691094748013,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,0,kmeans_profile,diagnostic_function_preserving,3,0.0,0.22594401041666856,0.27916666666666856,0.06431691094748013,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,0,kmeans_profile,diagnostic_function_preserving,4,0.0,0.15371093750000497,0.27916666666666856,0.06431691094748013,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,0,kmeans_profile,diagnostic_function_preserving,6,0.0,0.023990885416672825,0.27916666666666856,0.06431691094748013,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,0,kmeans_profile,diagnostic_function_preserving,8,0.0,-0.027929687499995026,0.27916666666666856,0.06431691094748013,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,0,kmeans_profile,diagnostic_function_preserving,12,0.0,-0.03437500000000071,0.27916666666666856,0.06431691094748013,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,0,kmeans_profile,diagnostic_function_preserving,16,0.0,0.048763020833341386,0.27916666666666856,0.06431691094748013,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,0,kmeans_profile,diagnostic_function_preserving,24,0.0,0.1277669270833357,0.27916666666666856,0.06431691094748013,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,0,kmeans_profile,diagnostic_function_preserving,32,0.0,0.03453776041666856,0.27916666666666856,0.06431691094748013,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,0,kmeans_profile,diagnostic_function_preserving,48,0.0,0.08183593750000284,0.27916666666666856,0.06431691094748013,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,0,kmeans_profile,diagnostic_function_preserving,64,0.0,0.08388671875000497,0.27916666666666856,0.06431691094748013,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,0,kmeans_profile,diagnostic_function_preserving,96,0.0,0.15419921875000497,0.27916666666666856,0.06431691094748013,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,0,kmeans_profile,diagnostic_function_preserving,128,0.0,0.13496093750000426,0.27916666666666856,0.06431691094748013,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,1,balanced_random_group,primary,1,0.0,0.11604817708333215,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,balanced_random_group,primary,2,0.006709515257446161,0.020833333333328596,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,balanced_random_group,primary,3,0.010634330081068618,-0.0761393229166707,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,balanced_random_group,primary,4,0.013419030514892322,-0.003710937500002842,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,balanced_random_group,primary,6,0.017343845338514782,0.072265625,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,balanced_random_group,primary,8,0.020128545772338483,-0.023014322916672825,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,balanced_random_group,primary,12,0.02405336059596094,0.21445312499999858,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,balanced_random_group,primary,16,0.026838061029784643,-0.01715494791666572,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,balanced_random_group,primary,24,0.0307628758534071,0.10149739583333428,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,balanced_random_group,primary,32,0.033547576287230804,-0.028352864583336412,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,balanced_random_group,primary,48,0.03747239111085326,0.048893229166658614,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,balanced_random_group,primary,64,0.040257091544676965,0.08043619791666856,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,balanced_random_group,primary,96,0.044181906368299426,0.1357747395833293,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,balanced_random_group,primary,128,0.046966606802123126,0.06240234374999787,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,affinity_rank_group,primary,1,0.0,0.05699869791666856,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,affinity_rank_group,primary,2,0.006709515257446161,-0.04892578124999858,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,affinity_rank_group,primary,3,0.010634330081068618,0.02376302083333215,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,affinity_rank_group,primary,4,0.013419030514892322,-0.033463541666673535,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,affinity_rank_group,primary,6,0.017343845338514782,0.013085937499994316,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,affinity_rank_group,primary,8,0.020128545772338483,0.27014973958333144,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,affinity_rank_group,primary,12,0.02405336059596094,0.05195312499999716,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,affinity_rank_group,primary,16,0.026838061029784643,-0.0506184895833357,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,affinity_rank_group,primary,24,0.0307628758534071,0.015885416666662877,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,affinity_rank_group,primary,32,0.033547576287230804,-0.02018229166666785,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,affinity_rank_group,primary,48,0.03747239111085326,0.15263671874999574,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,affinity_rank_group,primary,64,0.040257091544676965,0.15071614583333215,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,affinity_rank_group,primary,96,0.044181906368299426,-0.045800781250004974,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,affinity_rank_group,primary,128,0.046966606802123126,-0.07770182291667282,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,prefix_group,primary,1,0.013419030514892322,0.025162760416662877,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,prefix_group,primary,2,0.013419030514892322,0.00045572916666358765,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,prefix_group,primary,3,0.013419030514892322,-0.10917968750000284,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,prefix_group,primary,4,0.013419030514892322,-0.025813802083341386,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,prefix_group,primary,6,0.026838061029784643,-0.07044270833333144,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,prefix_group,primary,8,0.026838061029784643,0.13772786458333286,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,prefix_group,primary,12,0.026838061029784643,0.062076822916658614,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,prefix_group,primary,16,0.026838061029784643,0.1290690104166643,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,prefix_group,primary,24,0.040257091544676965,0.10957031250000071,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,prefix_group,primary,32,0.040257091544676965,-0.07395833333333712,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,prefix_group,primary,48,0.040257091544676965,-0.05911458333333641,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,prefix_group,primary,64,0.040257091544676965,0.03512369791666359,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,prefix_group,primary,96,0.05367612205956929,0.02981770833333286,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,prefix_group,primary,128,0.05367612205956929,-0.027083333333337123,0.07991536458333215,0.06709515257446161,"{""status"": ""ok""}"
control,excess_over_control,0.1,1,kmeans_profile,diagnostic_function_preserving,1,0.0,-0.009016927083337123,0.07991536458333215,0.06709515257446161,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,1,kmeans_profile,diagnostic_function_preserving,2,0.0,-0.07581380208333144,0.07991536458333215,0.06709515257446161,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,1,kmeans_profile,diagnostic_function_preserving,3,0.0,-0.02555338541666785,0.07991536458333215,0.06709515257446161,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,1,kmeans_profile,diagnostic_function_preserving,4,0.0,0.054101562499994316,0.07991536458333215,0.06709515257446161,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,1,kmeans_profile,diagnostic_function_preserving,6,0.0,0.06233723958333215,0.07991536458333215,0.06709515257446161,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,1,kmeans_profile,diagnostic_function_preserving,8,0.0,0.2574869791666643,0.07991536458333215,0.06709515257446161,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,1,kmeans_profile,diagnostic_function_preserving,12,0.0,-0.0644205729166707,0.07991536458333215,0.06709515257446161,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,1,kmeans_profile,diagnostic_function_preserving,16,0.0,-0.15380859375,0.07991536458333215,0.06709515257446161,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,1,kmeans_profile,diagnostic_function_preserving,24,0.0,0.03876953124999716,0.07991536458333215,0.06709515257446161,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,1,kmeans_profile,diagnostic_function_preserving,32,0.0,-0.08232421875000284,0.07991536458333215,0.06709515257446161,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,1,kmeans_profile,diagnostic_function_preserving,48,0.0,0.07415364583332718,0.07991536458333215,0.06709515257446161,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,1,kmeans_profile,diagnostic_function_preserving,64,0.0,0.03837890624999574,0.07991536458333215,0.06709515257446161,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,1,kmeans_profile,diagnostic_function_preserving,96,0.0,-0.09951171875000497,0.07991536458333215,0.06709515257446161,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,1,kmeans_profile,diagnostic_function_preserving,128,0.0,0.04886067708332931,0.07991536458333215,0.06709515257446161,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,2,balanced_random_group,primary,1,0.0,-0.20257161458333428,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,balanced_random_group,primary,2,0.006484717777068605,0.16276041666666785,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,balanced_random_group,primary,3,0.010278034504413591,-0.016113281250003553,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,balanced_random_group,primary,4,0.01296943555413721,-0.11419270833333428,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,balanced_random_group,primary,6,0.016762752281482197,-0.10738932291666714,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,balanced_random_group,primary,8,0.019454153331205815,0.02519531249999929,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,balanced_random_group,primary,12,0.023247470058550802,-0.25524088541666856,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,balanced_random_group,primary,16,0.02593887110827442,-0.02932942708333286,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,balanced_random_group,primary,24,0.029732187835619404,0.06155598958333641,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,balanced_random_group,primary,32,0.032423588885343024,0.14329427083333357,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,balanced_random_group,primary,48,0.03621690561268801,0.11852213541666856,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,balanced_random_group,primary,64,0.03890830666241163,-0.07220052083333428,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,balanced_random_group,primary,96,0.04270162338975662,0.02405598958333144,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,balanced_random_group,primary,128,0.045393024439480234,-0.05032552083333286,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,affinity_rank_group,primary,1,0.0,-0.09274088541666359,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,affinity_rank_group,primary,2,0.006484717777068605,-0.009765625000003553,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,affinity_rank_group,primary,3,0.010278034504413591,0.1018880208333357,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,affinity_rank_group,primary,4,0.01296943555413721,-0.17174479166666856,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,affinity_rank_group,primary,6,0.016762752281482197,-0.130013020833335,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,affinity_rank_group,primary,8,0.019454153331205815,-0.09358723958333215,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,affinity_rank_group,primary,12,0.023247470058550802,-0.011523437500002842,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,affinity_rank_group,primary,16,0.02593887110827442,-0.07695312500000284,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,affinity_rank_group,primary,24,0.029732187835619404,0.020703124999997158,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,affinity_rank_group,primary,32,0.032423588885343024,0.008626302083335702,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,affinity_rank_group,primary,48,0.03621690561268801,0.015624999999996447,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,affinity_rank_group,primary,64,0.03890830666241163,-0.17877604166666927,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,affinity_rank_group,primary,96,0.04270162338975662,-0.005175781249995737,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,affinity_rank_group,primary,128,0.045393024439480234,-0.11904296875000142,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,prefix_group,primary,1,0.01296943555413721,-0.11533203125000568,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,prefix_group,primary,2,0.01296943555413721,-0.03893229166666856,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,prefix_group,primary,3,0.01296943555413721,-0.08362630208333499,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,prefix_group,primary,4,0.01296943555413721,-0.005273437500001421,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,prefix_group,primary,6,0.02593887110827442,0.0205078125,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,prefix_group,primary,8,0.02593887110827442,0.01129557291666572,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,prefix_group,primary,12,0.02593887110827442,-0.0002278645833371229,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,prefix_group,primary,16,0.02593887110827442,-0.09306640625000284,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,prefix_group,primary,24,0.03890830666241163,-0.02786458333333286,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,prefix_group,primary,32,0.03890830666241163,-0.064453125,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,prefix_group,primary,48,0.03890830666241163,-0.027636718749995737,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,prefix_group,primary,64,0.03890830666241163,-0.1515299479166643,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,prefix_group,primary,96,0.05187774221654884,-0.06953125000000071,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,prefix_group,primary,128,0.05187774221654884,-0.06025390625000071,-0.09726562499999858,0.06484717777068605,"{""status"": ""ok""}"
control,excess_over_control,0.1,2,kmeans_profile,diagnostic_function_preserving,1,0.0,-0.2780598958333371,-0.09726562499999858,0.06484717777068605,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,2,kmeans_profile,diagnostic_function_preserving,2,0.0,-0.19915364583333428,-0.09726562499999858,0.06484717777068605,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,2,kmeans_profile,diagnostic_function_preserving,3,0.0,-0.10192057291666856,-0.09726562499999858,0.06484717777068605,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,2,kmeans_profile,diagnostic_function_preserving,4,0.0,-0.07776692708333499,-0.09726562499999858,0.06484717777068605,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,2,kmeans_profile,diagnostic_function_preserving,6,0.0,-0.09941406250000284,-0.09726562499999858,0.06484717777068605,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,2,kmeans_profile,diagnostic_function_preserving,8,0.0,-0.03639322916666643,-0.09726562499999858,0.06484717777068605,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,2,kmeans_profile,diagnostic_function_preserving,12,0.0,-0.0003255208333321491,-0.09726562499999858,0.06484717777068605,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,excess_over_control,0.1,2,kmeans_profile,diagnostic_function_preserving,16,0.0,-0.00872395833333428,-0.09726562499999858,0.06484717777068605,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
